|celltype              |    AD| Healthy|
|:---------------------|-----:|-------:|
|B_Cells               |   224|    1367|
|Dendritic_Cells       |   105|      10|
|Endothelial           |   213|       6|
|Fibroblasts           |   792|       4|
|Keratinocytes         | 10735|    2468|
|Langerhans_Cells      |   192|      13|
|Lymphatic_Endothelial |    18|       0|
|Macrophages           |    17|       6|
|Mast_Cells            |     2|      14|
|Melanocytes           |   290|       4|
|Monocytes             |  1424|      56|
|NK_Cells              |   849|    3225|
|Pericytes             |    48|      13|
|Plasma_Cells          |   109|    1439|
|Schwann_Cells         |     3|       3|
|Smooth_Muscle         |   210|      13|
|T_Cells               |  1265|    2534|
